"","RCDTS","SchoolName","District","City","County","White_percent","SATtotal","Chicago","SchoolName2"
"225","050162110170000",NA,"Township HSD 211","Palatine","Cook",44.3,1077.8,0,"Township HSD 211"
"226","070162200170000",NA,"Reavis Twp HSD 220","Burbank","Cook",57.1,952.3,0,"Reavis Twp HSD 220"
"227","060162080170000",NA,"Riverside-Brookfield Twp SD 208","Riverside","Cook",53.3,1082.6,0,"Riverside-Brookfield Twp SD 208"
"228","070162300130000",NA,"Cons HSD 230","Orland Park","Cook",74.7,1041.8,0,"Cons HSD 230"
"229","060162010170000",NA,"J S Morton HSD 201","Cicero","Cook",4.8,874.4,0,"J S Morton HSD 201"
"230","070162150170000",NA,"Thornton Fractional Twp HSD 215","Lansing","Cook",7.3,879.3,0,"Thornton Fractional Twp HSD 215"
"231","070162180160000",NA,"CHSD 218","Oak Lawn","Cook",31.5,914,0,"CHSD 218"
"232","070169010250000",NA,"Southland College Prep Charter High School","Richton Park","Cook",1.5,997.4,0,"Southland College Prep Charter High School"
"233","440631570160000",NA,"Richmond-Burton CHSD 157","Richmond","McHenry",87.8,1060.2,0,"Richmond-Burton CHSD 157"
"234","240470180160000",NA,"Newark CHSD 18","Newark","Kendall",92.3,998.1,0,"Newark CHSD 18"
"235","060162120160000",NA,"Leyden CHSD 212","Franklin Park","Cook",28.1,951.8,0,"Leyden CHSD 212"
"236","060162340160000",NA,"Ridgewood CHSD 234","Norridge","Cook",68.6,963.8,0,"Ridgewood CHSD 234"
"237","050162020170000",NA,"Evanston Twp HSD 202","Evanston","Cook",45.6,1080.8,0,"Evanston Twp HSD 202"
"238","070162270170000",NA,"Rich Twp HSD 227","Matteson","Cook",2.2,864.8,0,"Rich Twp HSD 227"
"239","050162190170000",NA,"Niles Twp HSD 219","Skokie","Cook",41,1064.7,0,"Niles Twp HSD 219"
"240","070162280160000",NA,"Bremen CHSD 228","Midlothian","Cook",28.6,922.4,0,"Bremen CHSD 228"
"241","150169020250000",NA,"Amandla Charter School","Chicago","Cook",0.7,765,1,"Amandla Charter School"
"242","050162030170000",NA,"New Trier Twp HSD 203","Northfield","Cook",79.7,1239.5,0,"New Trier Twp HSD 203"
"243","240321010160000",NA,"Morris CHSD 101","Morris","Grundy",76.1,994,0,"Morris CHSD 101"
"244","070162050170000",NA,"Thornton Twp HSD 205","South Holland","Cook",0.9,844.4,0,"Thornton Twp HSD 205"
"245","050162250170000",NA,"Northfield Twp HSD 225","Glenview","Cook",51.1,1165.8,0,"Northfield Twp HSD 225"
"246","070162330160000",NA,"Homewood Flossmoor CHSD 233","Flossmoor","Cook",18.3,1015.7,0,"Homewood Flossmoor CHSD 233"
"247","440631550160000",NA,"CHSD 155","Crystal Lake","McHenry",79,1067,0,"CHSD 155"
"248","320463070160000",NA,"Bradley Bourbonnais CHSD 307","Bradley","Kankakee",68.5,942.7,0,"Bradley Bourbonnais CHSD 307"
"249","240321110160000",NA,"Minooka CHSD 111","Channahon","Grundy",72.8,1012.5,0,"Minooka CHSD 111"
"250","050162070170000",NA,"Maine Township HSD 207","Park Ridge","Cook",57.8,1049.2,0,"Maine Township HSD 207"
"251","560992050170000",NA,"Lockport Twp HSD 205","Lockport","Will",70.6,1033.9,0,"Lockport Twp HSD 205"
"252","050162140170000",NA,"Township HSD 214","Arlington Heights","Cook",54.1,1076.2,0,"Township HSD 214"
"253","060162090170000",NA,"Proviso Twp HSD 209","Forest Park","Cook",2.5,884.5,0,"Proviso Twp HSD 209"
"254","070162290160000",NA,"Oak Lawn CHSD 229","Oak Lawn","Cook",59.6,960.2,0,"Oak Lawn CHSD 229"
"255","070162100170000",NA,"Lemont Twp HSD 210","Lemont","Cook",82,1097.4,0,"Lemont Twp HSD 210"
"256","440631540160000",NA,"Marengo CHSD 154","Marengo","McHenry",78,1028.8,0,"Marengo CHSD 154"
